dv1_x,dv1_y,dv_output,time_cost
-1.3189822830977511,-3.080202321811918,4.758153859965258,182400
-1.32042263526698,-3.081584380859589,4.813605588994921,181500
-1.3211194650493594,-3.0798171598637376,4.742718841860722,182700
-1.3196345340256497,-3.080316547045229,4.762863152565201,182400
-1.3206346908746371,-3.081196434822448,4.79835024064115,181800
-1.3192120722414318,-3.0823073365241607,4.841508753938914,181200
-1.3190381893111986,-3.078182207527037,inf,4799100
-1.3200675195519935,-3.0794345887848413,4.726697391200552,183300
-1.3202195239689496,-3.0825840190025557,4.852309507007375,180900
-1.318004338439031,-3.079535374417799,4.730537968404135,183300
-1.319270820054043,-3.0806936616499097,4.778035492782074,182100
-1.3203424185124195,-3.080829070526869,4.783675440253871,182100
-1.3203679562848427,-3.078475301456181,inf,4799100
-1.3196833351023751,-3.0802329696718744,4.759488763146028,182400
-1.3200811897505997,-3.0788625492931185,4.702668390561589,184200
-1.3203763388926557,-3.081130064286131,4.795660515475014,181800
-1.3197905650786246,-3.0803575536253693,4.76455586618448,182400
-1.3195137438721858,-3.078626220007995,inf,4799100
-1.3194891626400949,-3.0797462760879943,4.739514949588898,183000
-1.3204524245639768,-3.080309245280249,4.762711316200283,182400
-1.3206273910346848,-3.0795859445671816,4.733068508699325,183000
-1.319100616587814,-3.08009637190027,4.7538179709672095,182700
-1.321348701548388,-3.0783512580774675,inf,4799100
-1.3186478089752383,-3.078400556728432,inf,4799100
-1.318652549096466,-3.0800435054495447,4.751565463567321,182700
-1.3205015523746217,-3.0805108806819828,4.770913527293892,182100
-1.3223966056625247,-3.0799678819374283,4.749176078904771,182700
-1.3189751272040462,-3.0794368396698233,4.726588011569475,183300
-1.3198302939584827,-3.0809310720212624,4.787678869571089,181800
-1.3205868087907642,-3.079727731970534,4.738960578797552,183000
-1.3171638680881699,-3.0789410910689194,4.705536521737469,184200
-1.320723563960101,-3.080219461910935,4.759109725491864,182400
-1.3197867964349659,-3.079518069797702,4.730170106246795,183000
-1.3196521483285013,-3.080683200358076,4.77767964210917,182100
-1.3194242581768327,-3.081652935067718,4.816116067852299,181500
-1.319200185309372,-3.0805383219736493,4.771804034572939,182400
-1.319221739031874,-3.080166135696631,4.756720005091305,182700
-1.318257838501993,-3.0796086826337463,4.7336466875799035,183000
-1.3211359668051177,-3.078700187310987,inf,4799100
-1.3194159317307503,-3.080289806571524,4.761743700640989,182400
-1.3182901283252293,-3.0808137266919298,4.782678391349066,182100
-1.3193589188874693,-3.081124561234833,4.795264332106866,181800
-1.31884170778823,-3.078721375584975,inf,4799100
-1.319293982700875,-3.080417545036332,4.766903696046512,182400
-1.3215545193986933,-3.080374849657024,4.76561121478191,182400
-1.320505587349713,-3.08109798706416,4.794408348247557,181800
-1.3211526495137746,-3.0803440679988023,4.764266773207236,182400
-1.3191472511378102,-3.081035343570666,4.791698921898023,181800
-1.3207244001693927,-3.081524347229892,4.811301442167929,181500
-1.3185467453326465,-3.0808619339416112,4.78465426954391,182100
-1.320576201671196,-3.079129816485535,4.714024718836439,183600
-1.3196158562907103,-3.078617062800461,inf,4799100
-1.3192290967440887,-3.080706484221197,4.778542156415365,182100
-1.3196681499958898,-3.0796973880919807,4.737514776108408,183000
-1.3190509733115658,-3.07937703791416,4.72411382683031,183300
