n,dv1_x,dv1_y,nominal_value,expected_value,variance,time_cost
36,0.4599999999998836,-2.8600000000000136,3.9712594168373,4.339007076946686,0.12766360226328916,1437000.0
37,0.489999999999883,-2.850000000000014,3.972264296879544,4.284332692015441,0.09574454782218772,1433000.0
38,0.9199999999998738,-2.6400000000000183,3.972341490852389,3.9759473027718695,0.00037649918029069907,2536800.0
39,0.4699999999998834,-2.8600000000000136,3.976783365071866,4.079478196772408,0.004823266371929047,365500.0
40,0.8999999999998742,-2.6300000000000185,3.977731953524022,inf,,3705100.0
41,0.6599999999998793,-2.770000000000016,3.97835409323088,3.9806272770931326,5.6818515420885934e-05,2491100.0
42,0.9299999999998736,-2.6400000000000183,3.987443075509439,3.9889364931104954,0.0001895453885542542,2512500.0
43,0.4999999999998827,-2.850000000000014,3.987469852544102,4.066982798122833,0.004861054881862623,369600.0
44,1.1099999999998698,-2.5500000000000203,3.991618960344393,3.993428476917688,0.0041108486967823795,508400.0
45,0.439999999999884,-2.870000000000013,3.9927273255331786,4.078855611570045,0.0046498586127384075,360500.0
46,0.4299999999998842,-2.870000000000013,3.997357530205475,4.329007413106634,0.15358305192066768,1439900.0
47,0.8999999999998742,-2.660000000000018,3.999370802153403,3.999965332144973,0.0007824644007119334,2488700.0
48,0.5199999999998823,-2.840000000000014,4.000833206552083,4.1825756695051055,0.061144167698572977,1428300.0
49,1.1399999999998691,-2.5300000000000207,4.002577471554567,3.9974928850925124,0.004313549219704741,519200.0
50,1.0599999999998708,-2.58000000000002,4.005215799806915,3.9497001807188585,0.010688581868378542,1510900.0
51,0.7199999999998781,-2.750000000000016,4.007453946090922,4.008760353875982,0.0011066811400506768,2460800.0
52,0.9399999999998734,-2.6300000000000185,4.009904498466248,4.012722009693935,0.00018846720163141135,2535600.0
53,0.959999999999873,-2.6400000000000183,4.009932268960265,3.9712696186799787,0.00827373894629748,1474100.0
54,0.6899999999998787,-2.750000000000016,4.010279836978087,4.0149004471659895,0.0021569186815613606,2526000.0
55,0.6699999999998791,-2.760000000000016,4.012637170818447,4.014403410094936,0.0011302774274760635,2519000.0
56,1.0799999999998704,-2.57000000000002,4.013637421976994,4.011111330791904,0.004150614457979494,497600.0
57,0.3299999999998864,-2.900000000000013,4.014006603044495,4.583890177118101,0.46654798499180616,1461200.0
58,0.6099999999998804,-2.8100000000000147,4.017543646193116,4.049825080769701,0.0038324658186302176,386500.0
59,0.7099999999998783,-2.740000000000016,4.020119911559123,4.024997262655696,0.003247970493578575,2532400.0
60,0.6699999999998791,-2.770000000000016,4.023609786757461,4.023695534061291,0.0005504483471595147,2469600.0
61,0.5299999999998821,-2.840000000000014,4.024493108820208,4.064289714659475,0.004384689756492597,373200.0
62,0.6599999999998793,-2.790000000000015,4.026780044595421,4.043839783428159,0.0037106426044981556,395100.0
63,0.9299999999998736,-2.660000000000018,4.029057595802208,4.029288575685469,0.004577654995462176,453100.0
64,0.6999999999998785,-2.770000000000016,4.029904848980937,4.050854857997774,0.011537660757805289,1425500.0
65,0.6499999999998796,-2.770000000000016,4.030094278959497,4.033189608330469,0.0005663094313709556,2511400.0
66,0.4099999999998847,-2.880000000000013,4.033607899540027,4.083367731239479,0.004189459460488761,354800.0
67,0.7299999999998779,-2.760000000000016,4.03699358312619,4.044811144765954,0.004382410582712865,408100.0
68,0.7299999999998779,-2.7300000000000164,4.03931953949666,4.045092892791272,0.004675902555815311,2538200.0
69,0.1299999999998906,-2.950000000000012,4.040040806625045,inf,,1542600.0
70,0.6399999999998798,-2.780000000000016,4.04025132852145,4.041952660086252,0.00013524134279352629,2483000.0
71,0.999999999999872,-2.6200000000000188,4.040634534285989,4.039594888559445,0.004792775675503105,472000.0
72,1.1699999999998685,-2.510000000000021,4.043519478128451,4.042828437614873,0.00433086531489463,530300.0
73,0.8099999999998762,-2.710000000000017,4.046107465570724,4.045911302249964,0.0014458669264372959,2456000.0
74,0.9499999999998732,-2.6300000000000185,4.046374342284784,4.047852269063538,0.0002560553314571937,2511300.0
75,0.3999999999998849,-2.880000000000013,4.048089651766808,4.227476131300306,0.12764426718438587,1442500.0
76,0.8299999999998757,-2.700000000000017,4.048102161531991,4.048451789373486,0.0013727109367037752,2458900.0
77,0.9199999999998738,-2.650000000000018,4.049577746160385,4.051420366042703,0.0007216849598166673,2488700.0
78,0.2299999999998885,-2.930000000000012,4.052600758676255,4.115986470114209,0.004018410369913436,330100.0
