dv1_x,dv1_y,dv2_x,dv2_y,dv,time_cost
-3.0,-3.0,,,inf,4799000
-2.0,-3.0,,,inf,4799000
-1.0,-3.0,,,inf,15808800
0.0,-3.0,0.19961130264243998,2.0451976735989277,5.054915617789956,285300
1.0,-3.0,6.306055695559472,-1.2404228017872747,9.589173268678904,531000
2.0,-3.0,,,inf,4799000
3.0,-3.0,,,inf,4799000
