n,dv1_x,dv1_y,dv_nominal,dv_expected,dv_variance,time_cost_nominal,time_cost_expected,time_cost_variance,orbit_matching_expect,orbit_matching_variance
1,0.8699999999998749,-2.6700000000000177,3.859410567219463,3.8977636540815213,0.008726163351993811,2514100.0,2623423.5,90921776394.14415,1014599.6485778869,3196285012177.4795
2,0.8199999999998759,-2.6900000000000173,3.8673935162522266,3.9927540915488917,0.015015226988358402,2534100.0,2899123.5,201267745943.6937,2689274.325989474,4417801257306.515
3,1.1799999999998685,-2.5000000000000213,3.8808430813244885,3.9182749213911228,0.013059886765264955,537600.0,792962.7,218809856154.86493,1011889.1727899788,1378669741549.5952
4,0.8399999999998755,-2.680000000000017,3.881198699333808,3.9472278981412297,0.010955179464224335,2535900.0,2726870.7,137948612183.6937,1550660.4344348735,2551790825491.694
5,0.6999999999998785,-2.750000000000016,3.8909258626275456,3.944243533545174,0.011886394653029674,2506600.0,2659974.9,119453939739.72975,1312814.477772351,3986125460016.8257
6,0.8199999999998759,-2.700000000000017,3.893574422751319,3.960790779765866,0.011605565313927414,2483600.0,2691597.9,156129725491.0811,1514544.3144117557,3070058199083.4536
7,0.8899999999998744,-2.660000000000018,3.8936333728822055,3.896712526840135,8.834550049023297e-05,2513700.0,2513913.9,31425101.891891893,166289.39301617074,25319093155.834435
8,0.7999999999998764,-2.710000000000017,3.8937875394606163,3.9794865907228805,0.01355226366977826,2480600.0,2747525.4,184781588403.2433,1853755.168747514,3717938306102.8364
9,0.8599999999998751,-2.6700000000000177,3.897673887233434,3.909763065963598,0.002369713459753515,2537100.0,2557853.4,18115134262.702698,780676.6734975385,499846287276.23975
10,0.8399999999998755,-2.6900000000000173,3.9044860462628437,3.9223366446051053,0.003533677047435699,2485800.0,2532953.4,43268809397.83783,754723.8700324254,825051112292.2812
11,0.7799999999998768,-2.7200000000000166,3.9052396703591423,3.9600889181634504,0.009575225481502558,2476600.0,2639452.8,130476617930.09006,1339757.903702622,2412334069813.429
12,0.7099999999998783,-2.750000000000016,3.907112076573996,3.9571063225593375,0.010125478363629052,2484100.0,2631788.4,120325214740.18019,1238620.7120925619,2812947462344.2607
13,0.8899999999998744,-2.680000000000017,3.9134467509852993,3.98104794463614,0.003593904343536027,445900.0,772119.9,227230016730.72067,1564436.5494787223,911675521579.8842
14,0.769999999999877,-2.740000000000016,3.91632672835093,4.011579172829456,0.004033044611664645,419400.0,853597.2,255677089101.2612,2300669.7599048656,1437463878293.8032
15,0.8799999999998747,-2.660000000000018,3.9174048376737094,3.9239895975765684,0.0008758400247609224,2537600.0,2538226.8,25031032.792792793,504467.11855743587,153569884523.33514
16,0.9399999999998734,-2.650000000000018,3.921846498092383,4.0501777321003685,0.03350239709363939,1472800.0,1681660.2,252158671427.38742,2237332.048127529,4623632157459.737
17,1.0299999999998717,-2.600000000000019,3.923997564404445,3.9562732829312655,0.0034868261883427725,483400.0,667251.6,155220977154.5946,1042277.930467052,493954965872.5751
18,0.8599999999998751,-2.680000000000017,3.925912978016261,3.927042598077612,0.0007895598116894931,2487300.0,2487765.9,35304972.16216216,511845.13153042446,161724989935.20102
19,0.9799999999998724,-2.6300000000000185,3.9273243066520536,3.9652044030777005,0.0032602349756504227,468800.0,695326.5,180196222790.54053,1102882.801276113,479454322319.3387
20,0.6799999999998789,-2.760000000000016,3.927886338015475,3.93130050445193,3.312181944483148e-05,2498900.0,2499433.5,28208376.126126125,129086.28050067312,22363713216.38386
21,0.7599999999998772,-2.7300000000000164,3.9279238745904546,3.9473004332047092,0.003968412029202491,2471900.0,2527171.5,50355491889.63964,802279.8011860382,856282699950.7853
22,0.909999999999874,-2.650000000000018,3.936107716379267,3.938667393492704,0.00014399686108153628,2513300.0,2513698.8,31779638.1981982,157644.6173353574,20776226891.387505
23,1.1199999999998695,-2.5400000000000205,3.936300120837334,3.990791765325766,0.06335453014574716,1542700.0,1382931.0,346095178297.2973,1762590.9730617618,5556529568345.739
24,0.7199999999998781,-2.760000000000016,3.936545473020976,4.098500267385385,0.026058539895775362,1432200.0,1767494.7,240359279621.5315,2807337.8261250723,4867198591720.698
25,0.8999999999998742,-2.650000000000018,3.9416394818191334,3.9465791508198746,0.00059131292730166,2537500.0,2537906.1,25956309.099099103,363460.0564607781,83576650742.71564
26,1.0899999999998702,-2.56000000000002,3.9529905892456996,3.97755680717451,0.04063972599117818,1527000.0,1362124.8,312579973598.55853,1576015.1390670433,3711085327461.4106
27,0.6499999999998796,-2.790000000000015,3.953510987874586,4.1369617649640205,0.03271682096243094,1427300.0,1792004.7,245349427855.76575,3017404.8684110194,5574958576427.078
28,1.149999999999869,-2.520000000000021,3.9536918633199756,3.948123237328442,0.04409699700631231,1558100.0,1180409.4,348502153405.04504,1575806.006612988,3687959102777.116
29,0.8799999999998747,-2.6700000000000177,3.957488559174588,3.958772080226213,0.000742800225748864,2488200.0,2488603.8,30859665.225225225,388811.5991870191,88021948537.89903
30,1.009999999999872,-2.610000000000019,3.959151495582929,3.983507857244443,0.020549319735665955,1493500.0,1430434.5,217283565204.95496,1341332.0632038582,2201466334209.764
31,0.6899999999998787,-2.760000000000016,3.95976212314239,3.960937558623834,0.00045842763192809147,2476900.0,2477425.8,30915369.72972973,356595.9864073028,72736410598.27306
32,0.7399999999998776,-2.740000000000016,3.9619428911564762,3.9642808300499106,0.0011399321138622581,2466600.0,2469800.4,2819700880.7207217,535060.4150038143,204309274243.8501
33,0.5999999999998806,-2.8100000000000147,3.963033281540393,4.155945545296266,0.042328406611399826,1426500.0,1778609.7,237747818774.68466,3045082.261790905,6918895628850.286
34,0.909999999999874,-2.6700000000000177,3.965430760458707,3.9902817103513253,0.00351222300311857,449400.0,602906.4,131507964203.24321,985423.3551837329,436830784643.7271
35,0.7499999999998774,-2.750000000000016,3.970457375058023,4.017314620121536,0.0038946883446258776,413600.0,619180.8,168549750261.62164,1210678.8480689349,606216130087.0801
36,0.4599999999998836,-2.8600000000000136,3.970438546160379,4.355778980218849,0.12734229632320865,1437000.0,1902724.2,262794932126.48654,5340041.154359249,16664530594587.52
37,0.489999999999883,-2.850000000000014,3.9714806514135237,4.278055344163829,0.09458333103551654,1433000.0,1841628.9,252302048363.15308,4374739.246124933,13196359978509.682
38,0.9199999999998738,-2.6400000000000183,3.9717333445843535,3.9767302198002543,0.0004080943486795686,2536800.0,2537253.3,29179268.37837838,261270.9178862089,53783346738.84179
39,0.4699999999998834,-2.8600000000000136,3.976007352167503,4.076018888939558,0.005306764494934498,365500.0,825296.4,279672515302.3423,2360181.383375585,1754410899019.82
41,0.6599999999998793,-2.770000000000016,3.977648268693735,3.9802058109713543,4.376532419606258e-05,2491100.0,2491422.3,26855848.558558557,92562.87671085155,7724860902.905247
42,0.9299999999998736,-2.6400000000000183,3.986779306520888,3.988810189540521,0.00017700564115881757,2512500.0,2512895.4,29440799.63963964,152174.64581065395,14868788551.235317
43,0.4999999999998827,-2.850000000000014,3.9866714457657197,4.068354402399442,0.004646273866164353,369600.0,744134.4,255111037414.054,1810173.2136865281,1248489465748.2444
44,1.1099999999998698,-2.5500000000000203,3.990970446032947,3.990246089737974,0.004218306665767373,508400.0,526245.6,17655104405.045044,855445.413831526,452391139953.6976
45,0.439999999999884,-2.870000000000013,3.991952505541928,4.077844560387487,0.004919269695663585,360500.0,754723.8,267279382656.21616,1955870.1986689984,1454667244481.0146
46,0.4299999999998842,-2.870000000000013,3.9965771533371792,4.309722175411257,0.14799411541139176,1439900.0,1774301.7,240411947214.32434,4021890.8993540895,16938207963934.146
47,0.8999999999998742,-2.660000000000018,3.9986995988105845,3.9997729103126414,0.0007490645844241401,2488700.0,2489031.3,29134104.414414413,335849.57421784394,58721437136.259476
48,0.5199999999998823,-2.840000000000014,4.000061785898037,4.172710664838872,0.06046505429610985,1428300.0,1690334.7,208446110576.48645,2655989.194164068,7467988946643.225
49,1.1399999999998691,-2.5300000000000207,4.00194602939663,4.001107862873253,0.004529605159944827,519200.0,525820.8,6360300567.927928,836349.7510245987,469288453455.84796
50,1.0599999999998708,-2.58000000000002,4.004578428720385,3.94523982034817,0.010366552522050843,1510900.0,1071238.2,298856497438.1982,1539093.3061583773,1620628444936.7612
51,0.7199999999998781,-2.750000000000016,4.006758724068641,4.006209789505116,0.0009935056198895125,2460800.0,2461434.9,30107559.54954955,438902.797062071,103527755348.9619
52,0.9399999999998734,-2.6300000000000185,4.009247716134736,4.0124343925140336,0.00017942454918041373,2535600.0,2535695.7,27072724.234234232,158646.18673254937,22406213411.460484
53,0.959999999999873,-2.6400000000000183,4.009278559953845,3.9753659580303067,0.007837489899936543,1474100.0,1242241.5,240440358646.3964,1232187.0809613934,1273932352928.953
54,0.6899999999998787,-2.750000000000016,4.009533340325554,4.016947564268433,0.0020780304940232184,2526000.0,2526573.9,24837966.756756756,627604.9186887085,210556289874.79865
55,0.6699999999998791,-2.760000000000016,4.012028972356882,4.014394933029398,0.0012736806004367534,2519000.0,2518907.7,27653704.414414413,490797.40968887415,134470129302.35747
56,1.0799999999998704,-2.57000000000002,4.0130024609036985,4.014433249491978,0.004459783486332991,497600.0,509171.1,11393633768.558554,821219.240986286,470114858043.31256
57,0.3299999999998864,-2.900000000000013,4.013218770317905,4.610704885485234,0.47470068611211524,1461200.0,1869326.1,266290413822.6126,6219290.65120952,39093334683035.59
58,0.6099999999998804,-2.8100000000000147,4.016838695257125,4.048352799263384,0.0039756251648510495,386500.0,555765.6,146060671648.2883,1094959.7344661837,483496742861.56366
59,0.7099999999998783,-2.740000000000016,4.019484158358175,4.0275350194874235,0.003292741297967048,2532400.0,2532927.9,24986518.108108107,745733.4115696463,308614760121.9856
